revenue_region_no,province,municipality,barangay,street_subdivision,vicinity,classification,zonal_value
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GEN LUNA ST,DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,CR*,"16,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GEN LUNA ST,DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,RR,"15,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GEN LUNA ST,A P SANTOS ST-HERNANDO ST,CR,"18,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GEN LUNA ST,A P SANTOS ST-HERNANDO ST,RR,"11,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),HERNANDO ST,"LAOAG RIVER - ANASTACIA G, TUPAZ ST(L JAENA ST)",RR,"7,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),HERNANDO ST,"ANASTACIA G, TUPAS ST(L JAENA ST) - A CASTRO AVENUE",RR,"9,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J LUNA ST,A DEL ROSARIO-5 DE AGOSTO 1906,RR,"7,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J LUNA ST,A P SANTOS ST-HERNANDO ST,RR,"9,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J LUNA ST,5 DE AGOSTO 1906-1 P SANTOS,RR,"11,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J P RIZAL ST,A DEL ROSARIO-5 DE AGOSTO 1906,RR,"16,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J P RIZAL ST,5 DE AGOSTO 1906-1 P SANTOS,RR,"19,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J P RIZAL ST,A P SANTOS ST-HERNANDO ST,CR,"18,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),J P RIZAL ST,A P SANTOS ST-HERNANDO ST,RR,"15,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),A.G. TUPAS ST. (L JAENA ST)),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,RR,"15,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),A.G. TUPAS ST. (L JAENA ST)),A P SANTOS ST-HERNANDO ST,RR,"13,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),P. LAZARO ST. (P BURGOS ST),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,CR*,"14,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),P. LAZARO ST. (P BURGOS ST),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,RR,"13,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),P. LAZARO ST. (P BURGOS ST),A P SANTOS ST-HERNANDO ST,CR*,"14,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),P. LAZARO ST. (P BURGOS ST),A P SANTOS ST-HERNANDO ST,RR,"13,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),M. REMIGIO ST. (P GOMEZ ST),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,CR,"19,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),M. REMIGIO ST. (P GOMEZ ST),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,RR,"14,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),M. REMIGIO ST. (P GOMEZ ST),A P SANTOS ST-HERNANDO ST,CR,"17,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),M. REMIGIO ST. (P GOMEZ ST),A P SANTOS ST-HERNANDO ST,RR,"13,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GOMBURZA ST. (P ZAMORA ST),DON CELESTINO PERALTA ST(A. DEL ROSARIO ST)-A P SANTOS ST,RR,"13,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),GOMBURZA ST. (P ZAMORA ST),A P SANTOS ST-HERNANDO ST,RR,"14,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),DON FRANCISCO JULIAN ST(5 DE AGOSTO 1906 ST),"LAOAG RIVER - ANASTACIA G, TUPAS ST(L JAENA ST)",RR,"5,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),DON FRANCISCO JULIAN ST(5 DE AGOSTO 1906 ST),"ANASTACIA G, TUPAS ST(L JAENA ST) - PRIMO LAZARO ST( P BURGOS ST)",RR,"6,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,CR,"18,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,RR,"12,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A1,"7,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A2,"6,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,APD/GP,"5,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A50,"5,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,INTERIOR,RR,"6,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,INTERIOR,GP/APD,"4,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,INTERIOR,A1,"3,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 3 - NRA. SRA. DEL ROSARIO (POBLACION),ALL OTHER STREETS,INTERIOR,A2,"3,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A CASTRO AVENUE,INTERIOR,RR,"10,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST. (A DEL ROSARIO ST),LAOAG RIVER - J LUNA ST,RR,"8,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST. (A DEL ROSARIO ST),J LUNA - M. REMIGIO ST(P. GOMEZ ST),RR,"9,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST. (A DEL ROSARIO ST),J LUNA - M. REMIGIO ST(P. GOMEZ ST),GP,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST. (A DEL ROSARIO ST),J LUNA - M. REMIGIO ST(P. GOMEZ ST),A1,"3,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST. (A DEL ROSARIO ST),J LUNA - M. REMIGIO ST(P. GOMEZ ST),A2,"1,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A MABINI ST,HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"14,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A MABINI ST,ABLAN AVENUE-HERNANDO ST,RR,"14,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,LAOAG RIVER - J LUNA ST,RR,"8,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,J LUNA ST - J P RIZAL ST,CR,"24,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),D SAMONTE ST,HIDALGO -ST DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),D SAMONTE ST,ABLAN AVENUE-HERNANDO ST,CR,"22,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),D SAMONTE ST,ABLAN AVENUE-HERNANDO ST,RR,"18,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),F R CASTRO AVENUE,ROMERO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),F R CASTRO AVENUE,DON CELESTINO PERALTA ST(A DEL ROSARIO ST)-HERNANDO ST,CR,"20,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),F R CASTRO AVENUE,DON CELESTINO PERALTA ST(A DEL ROSARIO ST)-HERNANDO ST,RR,"15,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GEN LUNA ST,HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),CR,"23,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GEN LUNA ST,ABLAN AVE. - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GEN LUNA ST,ABLAN AVENUE-HERNANDO ST,CR,"24,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GEN LUNA ST,ABLAN AVENUE-HERNANDO ST,RR,"20,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),HIDALGO ST,J P RIZAL ST - GEN A LUNA ST,CR,"28,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),HIDALGO ST,GEN A LUNA ST - M. REMIGIO ST(P. GOMEZ ST),RR,"17,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),J LUNA ST,HERNANDO ST- DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),CR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),J LUNA ST,HERNANDO ST- DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"8,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),J P RIZAL ST,HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),CR,"26,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),J P RIZAL ST,ABLAN AVENUE-HERNANDO ST,CR,"27,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),J P RIZAL ST,ABLAN AVENUE-HERNANDO ST,RR,"19,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A.G. TUPAS ST. (L JAENA ST)),ROMERO ST - A DEL ROSARIO ST,RR,"17,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A.G. TUPAS ST. (L JAENA ST)),DON CELESTINO PERALTA ST(A DEL ROSARIO ST)-HERNANDO ST,CR,"22,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),A.G. TUPAS ST. (L JAENA ST)),DON CELESTINO PERALTA ST(A DEL ROSARIO ST)-HERNANDO ST,RR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),P. LAZARO ST. (P BURGOS ST),HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),P. LAZARO ST. (P BURGOS ST),ABLAN AVENUE-HERNANDO ST,RR,"21,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),HIDALGO ST - ABLAN AVE,CR,"22,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),CR,"22,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),GL*,"22,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GOMBURZA ST. (P ZAMORA ST),HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),CR*,"21,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GOMBURZA ST. (P ZAMORA ST),HIDALGO ST - DON CELESTINO PERALTA ST(A. DEL ROSARIO ST),RR,"18,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GOMBURZA ST. (P ZAMORA ST),AGBAYANI ST-HERNANDO ST,GL*,"22,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GOMBURZA ST. (P ZAMORA ST),ABLAN AVENUE-HERNANDO ST,CR,"22,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),GOMBURZA ST. (P ZAMORA ST),ABLAN AVENUE-HERNANDO ST,RR,"17,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ROMERO ST,LAOAG RIVER - J LUNA ST,RR,"8,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ROMERO ST,J LUNA ST - J P RIZAL ST,RR,"12,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ROMERO ST,J LUNA ST - J P RIZAL ST,GP,"16,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ROMERO ST,J LUNA ST - J P RIZAL ST,A1,"4,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ROMERO ST,J LUNA ST - J P RIZAL ST,A2,"3,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),P. HERNANDO ST,A. MABINI-TUPAZ ST,CR,"21,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),P. HERNANDO ST,A. MABINI-TUPAZ ST,RR,"16,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),P. HERNANDO ST,TUPAZ ST-RIVER END,CR,"18,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST.,A. MABINI-TUPAZ ST,CR,"18,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST.,A. MABINI-TUPAZ ST,RR,"11,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST.,TUPAZ ST-RIVER END,CR,"15,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON CELESTINO PERALTA ST.,TUPAZ ST-RIVER END,RR,"13,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON JULIAN(5 DE AGOSTO 1906 ST),PRIMO LAZARO- TUPAZ ST,CR,"18,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON JULIAN(5 DE AGOSTO 1906 ST),PRIMO LAZARO- TUPAZ ST,RR,"13,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON JULIAN(5 DE AGOSTO 1906 ST),TUPAZ ST-RIVER END,CR,"17,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),DON JULIAN(5 DE AGOSTO 1906 ST),TUPAZ ST-RIVER END,RR,"12,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,J. P. RIZAL ST. - M. REMIGIO ST(P. GOMEZ ST),CR,"20,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,J. P. RIZAL ST. - M. REMIGIO ST(P. GOMEZ ST),RR,"13,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,REMIGIO-TUPAZ ST,CR,"10,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,REMIGIO-TUPAZ ST,RR,"5,000.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,LAOAG RIVER-TUPAZ ST,CR,"15,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 4 - SAN GUILLERMO (POBLACION),ABLAN AVENUE,LAOAG RIVER-TUPAZ ST,RR,"11,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A CASTRO AVE.,Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),CR,"22,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A CASTRO AVE.,HERNANDO ST-MAURICIO CASTRO AVE.(BUGALLON ST),CR,"15,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A CASTRO AVE.,HERNANDO ST-MAURICIO CASTRO AVE.(BUGALLON ST),CR,"15,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),BITANGA ST,LAOAG RIVER - J LUNA ST,RR,"7,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),BITANGA ST,J LUNA ST - J P RIZAL ST,RR,"9,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),D SAMONTE ST,Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),D SAMONTE ST,Z FLORES-ABLAN AVENUE,CR,"22,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),D SAMONTE ST,Z FLORES-ABLAN AVENUE,RR,"18,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),F R CASTRO AVE,Z FLORES ST - ROMERO ST,CR,"27,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),F R CASTRO AVE,Z FLORES ST - ROMERO ST,RR,"19,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),F R CASTRO AVE,DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,CR,"26,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),F R CASTRO AVE,DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,RR,"18,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GEN A LUNA ST,Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),CR,"27,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GEN A LUNA ST,Z FLORES-ABLAN AVENUE,CR,"27,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GEN A LUNA ST,Z FLORES-ABLAN AVENUE,RR,"18,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ABELARDO SAMONTE ST. (HIDALGO ST),J P RIZAL ST - GEN A LUNA ST,CR,"29,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ABELARDO SAMONTE ST. (HIDALGO ST),GEN A LUNA ST - M. REMIGIO ST(P. GOMEZ ST),RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),J LUNA ST,Z FLORES ST - ROMERO ST,RR,"7,900.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),J LUNA ST,DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,RR,"8,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A.G. TUPAS ST. (L JAENA ST) ),Z FLORES ST - ROMERO ST,RR,"17,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A.G. TUPAS ST. (L JAENA ST) ),DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,CR,"23,800.00"
